Movie,IMDB
DOA: Dead or Alive,tt0398913
Triple 9,tt1712261
Rambo III,tt0095956
Clear and Present Danger,tt0109444
Tag,tt2854926
Miami Vice,tt0430357
Enemy of the State,tt0120660
The Sea Hawk,tt0033028
Riders of Justice,tt11655202
Only the Brave,tt3829920
Jawan,tt15354916
Tank Girl,tt0114614
Overlord,tt4530422
Don't Breathe 2,tt6246322
Criminal,tt3014866
Adrift,tt6306064
The Ridiculous 6,tt2479478
Hold the Dark,tt5057140
Small Soldiers,tt0122718
Salt,tt0944835
Friday Night Lights,tt0390022
Sniper: Ultimate Kill,tt6349302
Landmine Goes Click,tt2186848
War,tt0499556
Die Hard with a Vengeance,tt0112864
The Girl with All the Gifts,tt4547056
The Net,tt0113957
Transcendence,tt2209764
Beverly Hills Cop III,tt0109254
The World's End,tt1213663
Jupiter Ascending,tt1617661
Howard the Duck,tt0091225
Bloodsport,tt0092675
The Outpost,tt3833480
The Bourne Legacy,tt1194173
Blackout,tt8363392
xXx: Return of Xander Cage,tt1293847
Clash of the Titans,tt0082186
Ran,tt0089881
The Next Three Days,tt1458175
Detective Knight: Redemption,tt22394694
Takers,tt1135084
On Her Majesty's Secret Service,tt0064757
Bullitt,tt0062765
The 5th Wave,tt2304933
Ghostbusters II,tt0097428
Beowulf,tt0442933
Becky,tt10314450
PAW Patrol: The Movie,tt11832046
The Adventures of Sharkboy and Lavagirl 3-D,tt0424774
The 13th Warrior,tt0120657
Left Behind,tt2467046
Battle Royale,tt0266308
The Expendables 2,tt1764651
A Fistful of Dollars,tt0058461
Attack the Block,tt1478964
Sita Ramam,tt20850406
48 Hrs.,tt0083511
